,Price,Publication Year,Page Count,Author Count,Previous Books Published,Published Per Author
0,115,2015,432,3,43,14.33333333
1,99.95,2018,178,3,37,12.33333333
2,120,2018,220,1,4,4
3,149.99,2013,108,3,14,4.666666667
4,155,2017,383,2,17,8.5
5,110,2017,352,2,24,12
6,83.25,2016,216,1,4,4
7,165,2016,332,3,25,8.333333333
8,79.95,2021,500,3,51,17
9,48.95,2015,312,1,16,16
10,199.99,2020,595,2,27,13.5
11,155,2019,368,3,29,9.666666667
12,140,2015,498,3,44,14.66666667
13,115,2016,242,3,38,12.66666667
14,145,2017,469,3,47,15.66666667
15,105,2014,222,1,13,13
16,130,2017,268,1,17,17
17,130,2020,928,1,3,3
19,50,2016,320,1,14,14
20,30,2014,224,2,28,14
21,104,2017,432,2,26,13
23,140.5,2018,190,2,17,8.5
24,129.95,2017,544,3,17,5.666666667
25,230,2014,312,1,13,13
26,165,2016,463,1,14,14
27,138,2020,336,3,12,4
28,135,2021,384,3,10,3.333333333
29,179.99,2021,266,2,19,9.5
30,169.99,2016,267,2,22,11
32,129.95,2020,248,1,3,3
33,49.95,2014,232,1,16,16
34,84,2014,192,2,15,7.5
35,115,2014,229,1,3,3
36,74.99,2015,337,1,2,2
37,169.95,2020,426,3,15,5
38,160,2020,346,3,35,11.66666667
39,180,2014,622,2,21,10.5
40,105,2020,392,3,30,10
41,199.95,2019,330,2,29,14.5
42,28,2018,288,2,21,10.5
43,159.99,2020,314,1,18,18
44,145,2020,268,2,4,2
45,89.99,2020,469,3,36,12
46,189.95,2021,375,3,22,7.333333333
47,124.75,2018,162,1,3,3
48,230,2018,606,2,4,2
49,119.99,2015,102,3,30,10
50,29.99,2018,256,1,12,12
51,83.25,2016,216,2,17,8.5
52,175,2018,504,1,8,8
53,179,2016,312,2,6,3
54,180,2018,316,3,38,12.66666667
55,81.95,2015,576,2,15,7.5
56,67.95,2017,286,1,18,18
57,50,2021,272,2,15,7.5
58,160,2020,140,1,1,1
70,67.95,2017,286,1,19,19
73,120.01,2022,272,1,2,2
74,219.99,2019,240,3,33,11
75,29.95,2014,295,1,3,3
76,139,2017,280,1,11,11
78,129.95,2019,410,3,41,13.66666667
79,39.95,2020,336,2,20,10
80,99.95,2017,224,1,11,11
81,49.99,2014,248,1,13,13
82,175,2019,118,3,18,6
83,130,2019,376,3,30,10
84,165,2017,530,3,30,10
85,67.95,2014,217,2,3,1.5
86,89.95,2021,256,2,20,10
87,225,2022,256,2,23,11.5
88,149.99,2016,104,3,20,6.666666667
89,75,2019,640,3,17,5.666666667
90,140,2021,640,2,30,15
91,135,2020,288,1,1,1
92,80,2020,208,1,10,10
93,220,2018,202,3,43,14.33333333
94,86.95,2017,503,1,17,17
95,27,2016,304,1,2,2
98,59.95,2020,300,3,31,10.33333333
99,169.99,2019,179,2,16,8
100,50,2014,202,1,17,17
101,74.99,2014,242,1,19,19
102,135,2021,400,1,2,2
103,49.95,2014,235,1,17,17
104,49.95,2012,304,2,29,14.5
105,28.99,2017,352,1,5,5
106,49.95,2021,352,1,14,14
107,109,2018,266,1,1,1
108,49.99,2018,271,1,11,11
109,110,2017,690,1,12,12
110,155,2017,480,1,7,7
111,69.95,2020,272,2,20,10
112,144,2016,232,1,8,8
113,155,2020,166,1,5,5
114,160,2020,391,3,31,10.33333333
115,79.95,2015,524,3,33,11
116,32,2013,234,3,6,2
117,99.99,2019,274,1,16,16
118,30,2013,192,1,16,16
119,69.99,2019,322,3,28,9.333333333
120,159.95,2019,312,3,37,12.33333333
121,160,2014,333,1,16,16
122,135,2019,656,3,34,11.33333333
123,49.95,2017,224,1,15,15
124,160,2018,210,2,2,1
125,155,2019,226,1,12,12
126,180,2020,208,3,25,8.333333333
127,45,2019,448,1,1,1
128,219,2014,140,3,33,11
130,130,2020,512,3,27,9
131,139,2021,300,1,7,7
132,139,2020,300,1,1,1
133,179.99,2021,330,3,32,10.66666667
134,130,2017,378,3,28,9.333333333
135,35,2014,228,1,16,16
136,100,2016,296,1,5,5
137,179.95,2019,289,2,30,15
138,49.99,2016,186,2,4,2
139,110,2016,407,3,21,7
140,159.99,2018,315,1,8,8
141,80,2018,448,3,9,3
142,130,2017,386,3,16,5.333333333
143,90.95,2014,305,1,6,6
144,140,2019,258,3,20,6.666666667
145,9.99,2014,199,2,24,12
146,99.95,2020,338,3,27,9
147,160,2020,264,1,17,17
148,59.8,2018,168,1,3,3
149,210,2016,464,3,22,7.333333333
150,78.95,2017,210,3,4,1.333333333
151,155,2021,210,2,12,6
152,155,2021,172,3,28,9.333333333
153,140,2018,736,1,2,2
154,148,2020,450,1,1,1
155,24.95,2021,224,2,5,2.5
156,149.99,2021,335,2,21,10.5
157,59.99,2016,224,1,14,14
158,49.95,2014,278,1,14,14
159,42,2013,320,1,4,4
160,179.99,2017,164,1,7,7
161,79.95,2021,250,3,28,9.333333333
162,22.95,2018,128,2,26,13
163,170,2019,520,3,29,9.666666667
164,29.95,2018,225,1,8,8
165,155,2016,363,3,7,2.333333333
166,160,2017,232,2,5,2.5
167,86.95,2017,380,1,16,16
168,69.99,2016,380,2,30,15
169,150,2020,200,3,13,4.333333333
170,29,2015,272,2,9,4.5
171,28.5,2017,184,1,11,11
172,99.95,2020,178,1,4,4
173,179.99,2021,329,2,33,16.5
174,126.99,2021,248,2,11,5.5
175,24.95,2013,240,3,32,10.66666667
177,29.95,2018,408,3,31,10.33333333
178,219.99,2017,488,3,12,4
179,155,2019,328,3,50,16.66666667
180,155,2018,216,1,8,8
181,170,2016,374,1,15,15
182,185,2017,180,3,14,4.666666667
183,160,2017,350,2,8,4
184,149.99,2018,160,2,9,4.5
185,99.95,2019,311,1,15,15
186,120,2018,304,3,31,10.33333333
187,124.75,2017,632,2,23,11.5
188,180,2016,150,1,6,6
189,179.95,2019,380,1,16,16
190,139.99,2018,214,3,20,6.666666667
191,49.95,2021,432,2,9,4.5
192,199.99,2020,534,3,12,4
193,189.95,2021,400,3,30,10
197,145,2015,350,1,1,1
198,28.95,2019,256,2,26,13
199,165,2020,488,3,23,7.666666667
200,160,2017,272,2,8,4
201,27.95,2014,278,1,5,5
202,170,2020,220,3,30,10
203,139.99,2020,407,3,38,12.66666667
204,100,2020,230,3,7,2.333333333
205,160,2020,228,1,4,4
206,160,2014,294,1,1,1
207,48,2014,259,3,16,5.333333333
209,109.99,2021,340,2,30,15
210,28,2019,320,1,2,2
211,69.95,2021,320,1,1,1
212,89.99,2014,138,1,6,6
214,25.95,2016,256,1,16,16
228,115,2021,300,2,21,10.5
229,60,2015,224,1,15,15
230,61.9,2017,237,1,7,7
231,49.95,2016,416,3,23,7.666666667
232,140.5,2017,272,1,7,7
233,140,2020,220,2,32,16
234,279.99,2018,660,1,5,5
235,95,2014,318,2,18,9
236,155,2018,244,3,18,6
237,49.95,2017,416,3,28,9.333333333
238,89.99,2017,200,1,3,3
239,279.99,2019,337,1,5,5
240,28.99,2019,400,1,4,4
241,56.95,2016,376,3,23,7.666666667
242,119.99,2014,516,1,2,2
243,28,2017,256,3,25,8.333333333
244,35,2015,400,2,19,9.5
245,100,2019,304,2,17,8.5
247,179.99,2016,516,3,39,13
248,79.95,2015,250,1,8,8
249,149.99,2020,170,3,9,3
250,139.99,2016,180,3,27,9
252,75,2019,240,2,18,9
253,220,2018,528,2,15,7.5
255,50,2014,368,1,1,1
257,40,2015,246,1,8,8
258,129,2019,246,3,6,2
259,169.95,2018,325,1,13,13
260,48,2015,325,3,25,8.333333333
261,159.99,2020,266,2,16,8
263,169.99,2018,204,2,23,11.5
264,54.99,2015,184,3,6,2
265,219.99,2017,565,1,18,18
267,149.99,2017,215,3,15,5
268,179.99,2017,303,2,33,16.5
269,93.5,2016,170,2,5,2.5
270,179.99,2013,311,1,13,13
271,179.99,2017,269,1,15,15
272,149.99,2018,131,1,17,17
273,79.99,2020,186,3,2,0.666666667
274,179.99,2014,291,1,3,3
275,140,2015,296,3,19,6.333333333
276,159.99,2016,319,1,14,14
277,205,2015,342,3,21,7
278,149.99,2015,121,3,30,10
280,149.99,2018,195,2,33,16.5
281,205,2017,392,1,2,2
282,179.99,2017,388,3,33,11
283,179.99,2018,376,3,5,1.666666667
284,149.99,2018,264,3,25,8.333333333
285,279.99,2017,549,3,40,13.33333333
286,90,2018,218,1,16,16
287,179.99,2015,499,3,49,16.33333333
288,279.99,2019,406,2,3,1.5
289,199.99,2018,384,3,22,7.333333333
290,179.99,2018,373,1,2,2
291,179.99,2016,487,1,9,9
292,79.99,2014,236,2,6,3
293,179.99,2015,329,2,7,3.5
294,149.99,2017,113,2,23,11.5
295,179.99,2014,444,2,33,16.5
296,85.99,2020,186,3,21,7
297,149.99,2019,277,2,6,3
298,185,2016,277,1,16,16
299,109.99,2017,168,3,11,3.666666667
300,169.99,2016,236,3,9,3
301,179.99,2016,382,3,25,8.333333333
302,159.99,2019,187,3,44,14.66666667
304,109.25,2016,212,2,5,2.5
305,150,2013,542,1,9,9
306,159.99,2014,105,2,7,3.5
307,159.99,2016,400,2,15,7.5
309,155,2018,358,3,19,6.333333333
311,78.95,2013,304,1,16,16
312,128,2020,460,1,8,8
314,148,2019,364,3,19,6.333333333
315,195,2018,220,3,17,5.666666667
317,64.99,2018,156,1,7,7
318,169.99,2020,226,2,10,5
319,55.4,2020,166,3,13,4.333333333
320,179.99,2019,180,1,14,14
321,149.99,2017,141,2,16,8
322,29.99,2020,182,1,16,16
323,29.99,2020,102,1,18,18
324,29.99,2020,154,1,18,18
325,169.99,2020,307,3,35,11.66666667
326,149.99,2016,191,3,30,10
327,179.99,2019,289,3,14,4.666666667
328,195,2016,334,1,15,15
329,205,2017,292,3,39,13
330,198,2017,876,2,28,14
331,169.99,2016,428,1,18,18
332,139.99,2018,125,3,33,11
333,185,2014,284,1,16,16
334,160,2016,272,1,16,16
335,215,2017,300,2,1,0.5
336,225,2019,300,1,3,3
337,379.99,2017,895,2,29,14.5
338,169.99,2019,278,2,27,13.5
339,149.99,2018,339,2,8,4
340,169.99,2019,214,1,17,17
341,179.99,2018,317,1,9,9
342,219.99,2013,614,2,29,14.5
343,69.99,2015,183,1,5,5
344,29.99,2016,199,2,15,7.5
345,119.99,2014,551,1,19,19
346,119.99,2018,197,3,1,0.333333333
347,59.99,2019,116,1,2,2
348,210,2017,332,3,31,10.33333333
349,225,2018,400,3,10,3.333333333
350,225,2018,300,2,19,9.5
351,235,2019,380,2,18,9
355,149.99,2015,287,1,20,20
356,155,2016,248,1,12,12
357,140,2019,236,3,7,2.333333333
358,139.99,2016,276,3,31,10.33333333
359,169.99,2016,437,2,28,14
360,169.99,2020,270,2,23,11.5
361,99.95,2015,206,3,29,9.666666667
362,255,2014,528,3,11,3.666666667
363,195,2016,322,3,17,5.666666667
364,245,2017,660,2,30,15
365,245,2017,360,1,8,8
366,210,2018,300,2,1,0.5
367,215,2018,290,1,4,4
368,295,2019,400,2,9,4.5
369,149.99,2019,180,1,1,1
370,27,2013,228,1,13,13
380,179.99,2017,330,3,36,12
381,195,2019,320,2,12,6
382,249.99,2016,574,3,23,7.666666667
383,179.99,2019,384,2,20,10
384,98,2015,308,3,31,10.33333333
385,85,2016,544,2,13,6.5
386,199.99,2018,421,2,10,5
387,499.99,2018,780,3,21,7
388,149.99,2016,124,1,14,14
389,169.99,2020,324,3,25,8.333333333
390,100,2016,232,3,29,9.666666667
391,200,2015,328,3,19,6.333333333
392,195,2016,346,2,24,12
393,205,2016,294,3,13,4.333333333
394,215,2017,388,3,35,11.66666667
395,245,2019,350,2,22,11
396,195,2018,335,2,2,1
397,195,2020,300,1,1,1
398,43.95,2020,120,2,14,7
399,159.99,2019,260,3,11,3.666666667
400,75.95,2020,157,3,15,5
401,98.95,2016,224,1,13,13
402,169.99,2019,330,3,17,5.666666667
403,59.99,2016,303,3,25,8.333333333
404,80,2013,119,1,14,14
405,99.99,2014,344,3,36,12
406,23.99,2016,326,1,5,5
407,130,2016,324,1,1,1
408,215,2018,318,2,13,6.5
409,199.99,2016,329,1,11,11
410,225,2015,372,2,8,4
418,175,2013,342,2,37,18.5
420,60,2014,256,1,7,7
421,140,2018,214,2,13,6.5
422,169.99,2015,216,3,34,11.33333333
423,249.99,2020,117,3,7,2.333333333
424,149.99,2020,183,1,9,9
425,80,2021,200,1,14,14
426,149.99,2018,189,1,17,17
427,170,2015,382,3,23,7.666666667
428,29.99,2020,130,1,18,18
429,159.99,2017,237,1,1,1
430,49.95,2013,224,3,30,10
431,89.99,2011,622,1,16,16
432,169.99,2015,256,2,3,1.5
433,159.99,2020,361,3,13,4.333333333
434,199.99,2020,497,1,6,6
436,169.99,2014,226,1,7,7
437,75,2014,364,1,3,3
438,149.99,2020,231,1,1,1
439,44.99,2020,226,1,17,17
440,149.99,2020,221,3,12,4
441,29.99,2020,106,1,16,16
442,225,2019,380,2,10,5
443,39.95,2015,400,1,11,11
444,60,2014,265,1,14,14
445,159.99,2019,144,3,3,1
448,169.99,2017,237,3,18,6
449,169.99,2019,300,3,39,13
450,94.95,2019,248,1,15,15
452,119.99,2016,169,3,18,6
453,68,2017,180,1,13,13
454,175,2015,259,1,13,13
455,179.99,2017,226,3,8,2.666666667
456,179.99,2018,288,2,8,4
457,155,2019,216,1,2,2
458,139.99,2017,131,2,29,14.5
459,59.99,2020,166,2,5,2.5
460,114.99,2019,153,3,19,6.333333333
461,139.99,2020,146,3,36,12
462,215,2018,280,2,4,2
463,210,2017,240,3,9,3
464,169.99,2014,241,2,17,8.5
465,149.99,2016,214,1,13,13
466,219.99,2017,505,3,47,15.66666667
467,159.99,2020,278,2,19,9.5
468,149.99,2019,391,3,8,2.666666667
469,29,2013,304,1,1,1
470,127,2017,222,1,11,11
471,75,2018,324,3,34,11.33333333
472,161.99,2014,250,2,30,15
473,179.99,2019,635,2,19,9.5
474,219.99,2019,719,1,1,1
475,99.99,2019,168,1,3,3
476,139.99,2017,386,1,8,8
477,169.99,2019,308,1,2,2
478,250,2015,390,3,32,10.66666667
479,58,2019,184,1,15,15
480,169.99,2019,227,1,2,2
481,169.99,2018,388,1,19,19
482,179.99,2017,330,3,21,7
483,179.99,2019,288,3,33,11
484,179.99,2015,368,2,33,16.5
485,78,2018,232,1,3,3
486,225,2020,544,3,10,3.333333333
487,139.99,2019,180,3,4,1.333333333
488,109.99,2018,260,3,20,6.666666667
489,255,2017,336,2,23,11.5
490,205,2018,270,3,14,4.666666667
491,295,2019,660,2,35,17.5
492,35.95,2017,250,1,3,3
493,199.99,2020,208,3,45,15
494,169.99,2014,218,1,12,12
495,84.99,2015,293,2,24,12
496,149.99,2015,428,3,17,5.666666667
497,179.99,2017,311,2,17,8.5
499,169.99,2020,254,3,18,6
500,114.99,2019,193,3,27,9
501,78,2016,280,1,15,15
502,129,2018,234,2,20,10
503,169.99,2017,254,2,2,1
504,59.99,2019,208,3,26,8.666666667
505,119.99,2016,170,1,1,1
506,149.99,2017,162,3,24,8
507,199.99,2017,456,2,19,9.5
508,49.99,2018,141,3,26,8.666666667
509,149.99,2018,176,1,1,1
510,169.99,2019,190,3,26,8.666666667
511,285,2019,300,1,9,9
512,245,2020,300,3,3,1
513,140,2015,294,1,18,18
514,149.99,2016,272,1,15,15
515,79.99,2019,151,2,1,0.5
516,59.99,2019,120,3,33,11
517,245,2020,376,1,2,2
518,165,2017,135,1,1,1
520,245,2015,562,2,16,8
521,349.99,2018,538,3,31,10.33333333
522,199.99,2014,470,2,20,10
523,149.99,2019,124,3,33,11
524,184.95,2019,340,3,40,13.33333333
525,88,2020,292,1,15,15
526,285,2015,532,3,17,5.666666667
527,210,2015,400,1,11,11
528,185,2019,304,3,33,11
529,139.99,2019,223,3,16,5.333333333
530,115,2020,312,2,20,10
531,245,2019,380,3,17,5.666666667
532,89.99,2016,144,3,12,4
533,149.99,2019,240,1,6,6
534,169.99,2020,270,3,39,13
535,225,2020,250,2,33,16.5
536,170,2016,153,1,17,17
537,185,2016,338,3,11,3.666666667
538,279.99,2017,502,3,10,3.333333333
539,179,2018,463,3,31,10.33333333
540,109,2016,192,2,10,5
541,99,2018,155,3,38,12.66666667
542,84.99,2018,151,1,5,5
543,169.99,2014,271,2,30,15
544,49.95,2012,160,1,2,2
545,169.99,2019,276,3,33,11
546,169.99,2020,207,3,1,0.333333333
547,150,2015,612,1,16,16
548,320,2018,500,3,15,5
549,45,2015,224,1,11,11
550,205,2018,216,2,1,0.5
571,149.99,2018,154,3,33,11
572,110,2018,250,3,36,12
573,165,2018,180,1,1,1
574,195,2020,316,3,40,13.33333333
575,249.99,2020,168,3,12,4
576,99.99,2019,188,3,8,2.666666667
577,119.99,2020,164,2,24,12
578,249.99,2019,412,3,7,2.333333333
579,99.99,2019,291,3,23,7.666666667
580,168,2019,520,1,19,19
581,29.99,2019,122,1,15,15
582,299.99,2013,629,3,47,15.66666667
583,95,2017,200,3,19,6.333333333
584,279.99,2020,504,3,7,2.333333333
585,149.99,2020,227,1,7,7
586,89.99,2020,177,1,3,3
587,179.99,2017,280,3,35,11.66666667
588,50,2016,344,2,22,11
589,279.99,2016,520,2,18,9
590,219.99,2014,516,3,29,9.666666667
591,249.99,2020,636,3,23,7.666666667
592,149.99,2020,250,3,36,12
593,31.99,2020,198,1,2,2
594,155,2019,294,3,31,10.33333333
595,28.35,2019,186,1,1,1
596,139.99,2015,359,1,1,1
597,139,2018,170,3,12,4
598,149.99,2020,142,3,4,1.333333333
599,46.95,2012,234,1,3,3
602,227,2013,264,1,14,14
603,22.95,2016,114,1,1,1
604,199.99,2019,190,3,34,11.33333333
605,29.99,2019,210,1,18,18
606,29.99,2020,106,1,18,18
607,299.99,2019,513,3,4,1.333333333
608,279.99,2018,300,3,7,2.333333333
609,219.99,2017,102,3,14,4.666666667
610,55,2014,318,1,16,16
611,31.95,2014,298,1,12,12
612,165,2019,290,1,19,19
613,98,2021,250,2,19,9.5
614,149.95,2019,340,3,18,6
615,150,2021,400,1,1,1
616,149.99,2017,326,3,38,12.66666667
617,109.95,2020,342,3,38,12.66666667
618,88,2016,280,1,11,11
619,275,2020,300,3,15,5
620,69.99,2018,497,1,10,10
621,159.99,2018,245,1,12,12
622,26.99,2019,188,1,13,13
624,109.95,2020,341,3,38,12.66666667
625,128,2019,440,1,11,11
626,139.99,2018,206,3,15,5
627,29.99,2020,182,1,18,18
628,26.99,2019,218,1,14,14
629,29.99,2019,292,1,12,12
630,149.99,2019,461,3,43,14.33333333
631,29.99,2019,114,1,15,15
632,139.99,2020,298,1,1,1
634,99,2025,240,3,22,7.333333333
635,90,2019,352,2,19,9.5
638,45,2012,202,3,57,19
640,175,2017,486,1,14,14
642,105,2014,200,2,18,9
643,155,2017,224,2,4,2
644,79.99,2019,446,3,17,5.666666667
645,79.95,2011,250,2,26,13
648,130,2012,374,1,9,9
649,145,2021,374,2,13,6.5
650,63,2010,179,1,2,2
651,145,2020,288,3,20,6.666666667
652,145,2019,286,2,18,9
656,120,2013,652,2,10,5
657,99.75,2013,292,1,16,16
658,115,2020,432,3,17,5.666666667
659,159.95,2019,218,2,2,1
662,145,2020,200,3,48,16
663,68.95,2016,235,1,2,2
664,114.4,2012,351,1,2,2
665,39.95,2010,799,1,6,6
667,169.99,2020,336,3,3,1
668,159.99,2014,415,1,6,6
680,225,2016,504,2,29,14.5
